year,geo_name,geo,income
2013,"San Jacinto County","05000US48407",46107.0
2013,"San Patricio County","05000US48409",50657.0
2013,"San Saba County","05000US48411",37743.0
2013,"Schleicher County","05000US48413",50648.0
2013,"Scurry County","05000US48415",47513.0
2013,"Shackelford County","05000US48417",47277.0
2013,"Shelby County","05000US48419",37081.0
2013,"Sherman County","05000US48421",48185.0
2013,"Smith County, TX","05000US48423",47432.0
2013,"Somervell County","05000US48425",55269.0
2013,"Starr County","05000US48427",24927.0
2013,"Stephens County","05000US48429",41728.0
2013,"Sterling County","05000US48431",50543.0
2013,"Stonewall County","05000US48433",42429.0
2013,"Sutton County","05000US48435",53806.0
2013,"Swisher County","05000US48437",36753.0
2013,"Tarrant County, TX","05000US48439",56853.0
2013,"Taylor County, TX","05000US48441",44891.0
2013,"Terrell County","05000US48443",39479.0
2013,"Terry County","05000US48445",37679.0
2013,"Throckmorton County","05000US48447",39286.0
2013,"Titus County","05000US48449",42939.0
2013,"Tom Green County, TX","05000US48451",44545.0
2013,"Travis County, TX","05000US48453",58025.0
2013,"Trinity County","05000US48455",34555.0
2013,"Tyler County","05000US48457",39940.0
2013,"Upshur County","05000US48459",46600.0
2013,"Upton County","05000US48461",51750.0
2013,"Uvalde County","05000US48463",34902.0
2013,"Val Verde County","05000US48465",40450.0
2013,"Van Zandt County","05000US48467",43439.0
2013,"Victoria County","05000US48469",50364.0
2013,"Walker County","05000US48471",37617.0
2013,"Waller County","05000US48473",50097.0
2013,"Ward County","05000US48475",42568.0
2013,"Washington County","05000US48477",44858.0
2013,"Webb County, TX","05000US48479",39449.0
2013,"Wharton County","05000US48481",40411.0
2013,"Wheeler County","05000US48483",51766.0
2013,"Wichita County, TX","05000US48485",45086.0
2013,"Wilbarger County","05000US48487",41658.0
2013,"Willacy County","05000US48489",25886.0
2013,"Williamson County, TX","05000US48491",71803.0
2013,"Wilson County","05000US48493",64571.0
2013,"Winkler County","05000US48495",48992.0
2013,"Wise County","05000US48497",56005.0
2013,"Wood County","05000US48499",43649.0
2013,"Yoakum County","05000US48501",49340.0
2013,"Young County","05000US48503",44429.0
2013,"Zapata County","05000US48505",31109.0
2013,"Zavala County","05000US48507",25625.0
2014,"Anderson County","05000US48001",42511.0
2014,"Andrews County","05000US48003",61250.0
2014,"Angelina County","05000US48005",42374.0
2014,"Aransas County","05000US48007",42247.0
2014,"Archer County","05000US48009",58274.0
2014,"Armstrong County","05000US48011",61250.0
2014,"Atascosa County","05000US48013",50756.0
2014,"Austin County","05000US48015",54603.0
2014,"Bailey County","05000US48017",41982.0
2014,"Bandera County","05000US48019",48587.0
2014,"Bastrop County","05000US48021",53382.0
2014,"Baylor County","05000US48023",33019.0
2014,"Bee County","05000US48025",41738.0
2014,"Bell County, TX","05000US48027",51027.0
2014,"Bexar County, TX","05000US48029",50867.0
2014,"Blanco County","05000US48031",51740.0
2014,"Borden County","05000US48033",73333.0
2014,"Bosque County","05000US48035",44339.0
2014,"Bowie County","05000US48037",42917.0
2014,"Brazoria County, TX","05000US48039",69092.0
2014,"Brazos County, TX","05000US48041",39060.0
2014,"Brewster County","05000US48043",38589.0
2014,"Briscoe County","05000US48045",36696.0
2014,"Brooks County","05000US48047",22176.0
2014,"Brown County","05000US48049",40982.0
2014,"Burleson County","05000US48051",49533.0
2014,"Burnet County","05000US48053",50712.0
2014,"Caldwell County","05000US48055",47435.0
2014,"Calhoun County","05000US48057",47546.0
2014,"Callahan County","05000US48059",42102.0
2014,"Cameron County, TX","05000US48061",33390.0
2014,"Camp County","05000US48063",38154.0
2014,"Carson County","05000US48065",63424.0
2014,"Cass County","05000US48067",36342.0
2014,"Castro County","05000US48069",40470.0
2014,"Chambers County","05000US48071",72239.0
2014,"Cherokee County","05000US48073",38949.0
2014,"Childress County","05000US48075",48682.0
2014,"Clay County","05000US48077",50025.0
2014,"Cochran County","05000US48079",41071.0
2014,"Coke County","05000US48081",40822.0
2014,"Coleman County","05000US48083",34692.0
2014,"Collin County, TX","05000US48085",84233.0
2014,"Collingsworth County","05000US48087",42798.0
2014,"Colorado County","05000US48089",45262.0
2014,"Comal County, TX","05000US48091",64987.0
2014,"Comanche County","05000US48093",35692.0
2014,"Concho County","05000US48095",52844.0
2014,"Cooke County","05000US48097",51222.0
2014,"Coryell County","05000US48099",49783.0
2014,"Cottle County","05000US48101",34833.0
2014,"Crane County","05000US48103",52451.0
2014,"Crockett County","05000US48105",51594.0
2014,"Crosby County","05000US48107",38668.0
2014,"Culberson County","05000US48109",35302.0
2014,"Dallam County","05000US48111",41105.0
2014,"Dallas County, TX","05000US48113",49925.0
2014,"Dawson County","05000US48115",39746.0
2014,"Deaf Smith County","05000US48117",42995.0
2014,"Delta County","05000US48119",40988.0
2014,"Denton County, TX","05000US48121",74662.0
2014,"DeWitt County","05000US48123",48082.0
2014,"Dickens County","05000US48125",38397.0
2014,"Dimmit County","05000US48127",38140.0
2014,"Donley County","05000US48129",40719.0
2014,"Duval County","05000US48131",32479.0
2014,"Eastland County","05000US48133",35221.0
2014,"Ector County, TX","05000US48135",54903.0
2014,"Edwards County","05000US48137",41726.0
2014,"Ellis County, TX","05000US48139",61898.0
2014,"El Paso County, TX","05000US48141",40783.0
2014,"Erath County","05000US48143",40711.0
2014,"Falls County","05000US48145",33587.0
2014,"Fannin County","05000US48147",44432.0
2014,"Fayette County","05000US48149",48711.0
2014,"Fisher County","05000US48151",42850.0
2014,"Floyd County","05000US48153",40993.0
2014,"Foard County","05000US48155",34375.0
2014,"Fort Bend County, TX","05000US48157",86407.0
2014,"Franklin County","05000US48159",44000.0
2014,"Freestone County","05000US48161",44072.0
2014,"Frio County","05000US48163",35681.0
2014,"Gaines County","05000US48165",54434.0
2014,"Galveston County, TX","05000US48167",61744.0
2014,"Garza County","05000US48169",49479.0
2014,"Gillespie County","05000US48171",52414.0
2014,"Glasscock County","05000US48173",81563.0
2014,"Goliad County","05000US48175",49702.0
2014,"Gonzales County","05000US48177",41263.0
2014,"Gray County","05000US48179",45179.0
2014,"Grayson County, TX","05000US48181",47631.0
2014,"Gregg County, TX","05000US48183",46391.0
2014,"Grimes County","05000US48185",46652.0
2014,"Guadalupe County, TX","05000US48187",62412.0
2014,"Hale County","05000US48189",42303.0
2014,"Hall County","05000US48191",33205.0
2014,"Hamilton County","05000US48193",42211.0
2014,"Hansford County","05000US48195",46181.0
2014,"Hardeman County","05000US48197",37656.0
2014,"Hardin County","05000US48199",52438.0
2014,"Harris County, TX","05000US48201",53822.0
2014,"Harrison County","05000US48203",46969.0
2014,"Hartley County","05000US48205",65132.0
2014,"Haskell County","05000US48207",42645.0
2014,"Hays County, TX","05000US48209",58878.0
2014,"Hemphill County","05000US48211",58281.0
2014,"Henderson County","05000US48213",40299.0
2014,"Hidalgo County, TX","05000US48215",34952.0
2014,"Hill County","05000US48217",40994.0
2014,"Hockley County","05000US48219",50485.0
2014,"Hood County","05000US48221",54397.0
2014,"Hopkins County","05000US48223",45158.0
2014,"Houston County","05000US48225",32855.0
2014,"Howard County","05000US48227",47994.0
2014,"Hudspeth County","05000US48229",23350.0
2014,"Hunt County","05000US48231",44898.0
2014,"Hutchinson County","05000US48233",47191.0
2014,"Irion County","05000US48235",54886.0
2014,"Jack County","05000US48237",45130.0
2014,"Jackson County","05000US48239",50856.0
2014,"Jasper County","05000US48241",39176.0
2014,"Jeff Davis County","05000US48243",51357.0
2014,"Jefferson County, TX","05000US48245",42368.0
2014,"Jim Hogg County","05000US48247",38013.0
2014,"Jim Wells County","05000US48249",42463.0
2014,"Johnson County, TX","05000US48251",58221.0
2014,"Jones County","05000US48253",42287.0
2014,"Karnes County","05000US48255",44650.0
2014,"Kaufman County, TX","05000US48257",61459.0
2014,"Kendall County","05000US48259",74320.0
2014,"Kenedy County","05000US48261",36563.0
2014,"Kent County","05000US48263",46842.0
2014,"Kerr County","05000US48265",42930.0
2014,"Kimble County","05000US48267",40000.0
2014,"King County","05000US48269",54583.0
2014,"Kinney County","05000US48271",32473.0
2014,"Kleberg County","05000US48273",37725.0
2014,"Knox County","05000US48275",37018.0
2014,"Lamar County","05000US48277",41130.0
2014,"Lamb County","05000US48279",37161.0
2014,"Lampasas County","05000US48281",48862.0
2014,"La Salle County","05000US48283",35554.0
2014,"Lavaca County","05000US48285",45780.0
2014,"Lee County","05000US48287",52452.0
2014,"Leon County","05000US48289",48763.0
2014,"Liberty County","05000US48291",47722.0
2014,"Limestone County","05000US48293",39484.0
2014,"Lipscomb County","05000US48295",61151.0
2014,"Live Oak County","05000US48297",44579.0
2014,"Llano County","05000US48299",45205.0
2014,"Loving County","05000US48301",65625.0
2014,"Lubbock County, TX","05000US48303",45529.0
2014,"Lynn County","05000US48305",41541.0
2014,"McCulloch County","05000US48307",40908.0
2014,"McLennan County, TX","05000US48309",42544.0
2014,"McMullen County","05000US48311",45208.0
2014,"Madison County","05000US48313",40879.0
2014,"Marion County","05000US48315",34363.0
2014,"Martin County","05000US48317",52232.0
2014,"Mason County","05000US48319",45536.0
2014,"Matagorda County","05000US48321",40410.0
2014,"Maverick County","05000US48323",32536.0
2014,"Medina County","05000US48325",56338.0
2014,"Menard County","05000US48327",34091.0
2014,"Midland County, TX","05000US48329",66966.0
2014,"Milam County","05000US48331",37183.0
2014,"Mills County","05000US48333",44241.0
2014,"Mitchell County","05000US48335",45769.0
2014,"Montague County","05000US48337",45897.0
